Date,Moisture_600,Blaine_After_HPGR,Tfe_Before_Mixer,FeO_Before_Mixer,Online_hours,Grate_Feed(ton),Grate_Speed(rpm),Depth(mm),EP1_Temp(deg),EP2_Temp(deg),Grate_Zoon3_Temp(deg),Grate_Zoon4_Temp(deg),Amb_Temp(deg),KL1_Speed(rpm),AN1_Speed(rpm),730FN1_Damper,730FN1_Amp,AN1_Zoon3_Temp(deg),Gas_Consumption(Nm3)
6/30/2019,8.83,2102.727273,66.91333333,22.67666667,24,12603.14,5.749866436,133.8505375,118.0580669,104.3680827,791.7553098,837.5502563,36.3384788,1.69973704,1.664913914,37.89513889,184.2880196,198.4233987,179236
7/1/2019,8.91372549,2115.571429,66.81333333,22.88666667,24,12181.13,5.641390741,129.9646127,123.1281408,106.5203833,787.1659901,847.1187999,38.00766788,1.699705754,1.616117993,37.19930556,182.6078546,149.9603264,172876
7/2/2019,8.781666667,2093.909091,66.73333333,22.46,23.93333333,11057,5.359698984,123.9318716,129.9742978,109.7983012,741.9724475,817.8569209,37.93677497,1.679777944,1.46438159,34.74305556,177.4385664,149.9603264,164628
7/3/2019,8.814285714,1999.545455,66.83,22.56,24,11179.55,5.146161917,136.809087,121.6815474,105.6243164,765.4188972,837.0162052,34.07046332,1.686459434,1.453430669,32.78194444,176.7700337,171.8179854,170564
7/4/2019,8.736111111,2010.181818,66.57666667,21.80333333,24,11327.45,5.374297659,132.4074424,126.0592715,108.9254025,767.0014998,815.1019574,34.33494006,1.699771901,1.492365794,34.00486111,179.6489596,158.8733597,169048
7/5/2019,8.905555556,2006.6,66.52666667,22.43666667,24,12120.9,5.559874159,133.9419665,121.4696569,107.0190357,782.0752518,802.7672619,37.1385185,1.699770929,1.591732074,35.79444444,181.0369417,185.0665517,170748
7/6/2019,8.908333333,2047.545455,66.23333333,22.08333333,24,12738.97,5.715267589,138.2187312,118.0410469,103.0788987,786.2051946,810.0433747,37.3316069,1.699845407,1.672779013,37.91666667,184.7939866,195.4664546,181944
7/7/2019,8.855384615,2025.5,66.66,22.18,24,12803.71,5.791122953,135.2962172,115.5134885,102.4656198,782.7090464,810.4768601,37.50105343,1.703147003,1.693071258,37.56180556,183.767471,197.6126733,186588
7/8/2019,9.019444444,2084.6,66.82,21.34333333,24,12472.32,5.656728102,134.871868,117.6795798,104.9896878,784.0234856,821.6606253,38.31567601,1.699927805,1.627526165,37.74375,184.1689992,178.4544468,175568
7/9/2019,8.850704225,2123.888889,66.37333333,21.57333333,23.8,12816.3,5.754365088,136.1596742,114.0412122,103.2096428,786.5033819,856.5548685,36.97925203,1.699971726,1.688417054,37.55833333,183.5924779,175.4017468,182864
7/10/2019,9.081428571,2157.545455,66.57333333,21.46333333,23.96666667,12431.23,5.689038134,129.6582511,123.1090893,105.7469358,754.8938224,829.279371,37.51343278,1.700100618,1.625197201,37.37152778,182.9234906,161.056841,176472
7/11/2019,8.967692308,2133.090909,67.18666667,22.71,24,12329.63,5.664810482,131.998125,120.8974722,103.0247006,753.7066456,857.7821648,36.34463491,1.700039157,1.603583895,37.57152778,184.2022035,170.5956846,181600
7/12/2019,8.751388889,2161.3,67.18,22.60333333,22.88333333,11905.53,5.47702427,132.7534563,121.2583383,104.3143774,744.922955,841.6892654,35.41377282,1.700072074,1.54913168,36.43194444,182.29077,149.6725138,176576
7/13/2019,8.802777778,2085.25,67.34333333,22.8,23.53333333,12006.02,5.419311825,134.790496,123.0941737,106.2254111,752.8364227,825.4726549,39.05055498,1.700323669,1.566513332,36.43819444,180.698487,153.5634532,170448
7/14/2019,8.965277778,2099.777778,67.06,22.56333333,24,12247.02,5.439066786,136.2592419,118.466799,105.6620634,761.7567715,813.521864,38.51185906,1.700313879,1.60338682,35.97222222,179.6697108,176.5740317,166536
7/15/2019,8.986153846,2142.625,66.80333333,22.16,24,12600.08,5.412225886,142.1674151,110.0726428,102.2762776,779.8881643,820.4520208,37.99381959,1.700241656,1.651584425,36.7,180.9297372,194.7440085,172952
7/16/2019,9.060294118,2127.090909,66.40666667,22.63666667,21.55,11144.52,5.009174543,133.7930783,112.4920941,103.6167478,732.3237203,835.6835026,39.89311964,1.697207003,1.503500778,33.371875,173.6739201,194.7440085,180760
7/17/2019,8.952777778,2146.666667,66.38666667,24.08666667,24,12093.2,5.28689159,142.3550985,110.7364895,102.8173117,765.7918921,857.1890706,38.12652627,1.682476901,1.562324173,36.84618056,182.7472026,183.6083611,176880
7/18/2019,9.066666667,2116.222222,66.61333333,23.92333333,24,12803.1,5.738905116,138.9821299,113.2402058,102.992135,803.5733458,868.2770025,36.28568678,1.699943045,1.671130093,38.05277778,185.9235297,176.748509,183888
7/19/2019,8.879166667,2096.916667,66.40333333,23.26666667,24,12625.51,5.527602023,142.5075937,117.0047718,103.2300683,785.7044968,873.9468976,36.57000604,1.684681728,1.663223931,38.00069444,185.9113672,155.3388933,175824
7/20/2019,9.0625,2096.454545,66.82666667,24.21666667,23.93333333,12460.67,5.586634617,138.791111,115.5568685,102.314994,787.2039116,872.7083394,36.6868418,1.679864713,1.645528179,36.81944444,183.6258839,165.0165044,174464
7/21/2019,9.079166667,2120.333333,66.63666667,23.18,24,12486.92,5.624129217,139.8468112,116.7620293,102.4106903,789.1943873,876.5590724,36.38844666,1.675330759,1.621692312,36.81388889,183.7062892,174.8452639,182560
7/22/2019,9.018965517,2126.333333,66.68,23.68,24,12424.87,5.600740185,138.7897939,125.7383494,103.4585337,796.948844,879.8941199,36.47297241,1.673896658,1.616007516,36.78611111,183.6367674,169.7359183,180736
7/23/2019,8.706666667,2054,66.69,23.08,19.13333333,10032.12,4.381122096,138.2206744,122.835778,97.51445501,740.6973884,837.8967739,35.66940315,1.596080273,1.352378431,30.25486111,168.2343996,150.8841066,170480
7/25/2019,8.8375,2058.125,67.075,24.635,24,12199.52,5.426838585,137.5958454,115.5843954,103.904383,765.785574,853.9645302,34.73591377,1.669214922,1.55507194,36.42916667,183.754495,155.0926721,182904
7/28/2019,8.870833333,2027.7,67.03,24.02333333,24,12785.05,5.697526124,137.0535573,110.1216147,101.3471555,783.6183725,822.054573,35.60846321,1.67477607,1.670019111,37.83888889,186.0375277,186.789931,174640
